date,total_tweets,pos,neg,neu,pos_share,neg_share,net_sent
2025-08-01,548,246,172,130,0.4489051094890511,0.31386861313868614,0.13503649635036497
2025-08-02,251,53,132,66,0.21115537848605578,0.5258964143426295,-0.3147410358565737
2025-08-03,267,68,119,80,0.2546816479400749,0.44569288389513106,-0.19101123595505617
2025-08-04,470,142,181,147,0.3021276595744681,0.3851063829787234,-0.08297872340425531
2025-08-05,486,151,165,169,0.31069958847736623,0.3395061728395062,-0.02880658436213992
2025-08-06,417,103,164,150,0.24700239808153476,0.3932853717026379,-0.14628297362110312
2025-08-07,358,120,103,135,0.33519553072625696,0.2877094972067039,0.04748603351955307
2025-08-08,369,104,136,129,0.28184281842818426,0.3685636856368564,-0.08672086720867209
2025-08-09,277,62,153,61,0.22382671480144403,0.5523465703971119,-0.3285198555956679
2025-08-10,313,65,174,74,0.20766773162939298,0.5559105431309904,-0.34824281150159747
2025-08-11,473,170,163,139,0.3594080338266385,0.34460887949260044,0.014799154334038054
2025-08-12,712,221,311,178,0.3103932584269663,0.43679775280898875,-0.12640449438202248
2025-08-13,753,220,343,189,0.2921646746347942,0.4555112881806109,-0.16334661354581673
2025-08-14,795,272,318,205,0.3421383647798742,0.4,-0.05786163522012579
2025-08-15,845,333,299,211,0.3940828402366864,0.35384615384615387,0.040236686390532544
2025-08-16,487,177,206,104,0.36344969199178645,0.42299794661190965,-0.059548254620123205
2025-08-17,547,198,222,127,0.3619744058500914,0.40585009140767825,-0.043875685557586835
2025-08-18,603,169,270,159,0.2802653399668325,0.44776119402985076,-0.16749585406301823
2025-08-19,920,191,465,263,0.2076086956521739,0.5054347826086957,-0.29782608695652174
2025-08-20,1438,341,752,342,0.23713490959666203,0.5229485396383866,-0.2858136300417246
2025-08-21,1915,347,1116,446,0.18120104438642298,0.5827676240208878,-0.40156657963446474
2025-08-22,2464,447,1426,585,0.18141233766233766,0.5787337662337663,-0.39732142857142855
2025-08-23,3847,1010,1795,1034,0.26254224070704446,0.46659734858331164,-0.2040551078762672
2025-08-25,1233,285,639,308,0.23114355231143552,0.5182481751824818,-0.2871046228710462
2025-08-26,358,84,120,153,0.2346368715083799,0.33519553072625696,-0.1005586592178771
2025-08-27,449,118,188,143,0.26280623608017817,0.41870824053452116,-0.155902004454343
2025-08-28,893,147,533,213,0.16461366181410975,0.5968645016797313,-0.4322508398656215
2025-08-29,3386,229,2475,667,0.06763142350856467,0.7309509746012994,-0.6633195510927348
2025-08-30,1637,114,1065,449,0.06963958460598656,0.6505803298717165,-0.58094074526573
2025-08-31,2105,206,1246,644,0.09786223277909739,0.5919239904988124,-0.49406175771971494
2025-09-01,1627,232,929,464,0.14259373079287033,0.5709895513214506,-0.4283958205285802
2025-09-02,4270,594,2396,1263,0.13911007025761124,0.5611241217798595,-0.42201405152224825
2025-09-03,3221,520,1748,950,0.1614405464141571,0.5426886060229742,-0.38124805960881714
2025-09-04,3010,712,1221,935,0.23654485049833887,0.40564784053156144,-0.1691029900332226
2025-09-05,2872,463,1082,967,0.1612116991643454,0.3767409470752089,-0.2155292479108635
2025-09-06,3506,855,1316,1209,0.24386765544780376,0.3753565316600114,-0.13148887621220764
2025-09-07,6091,1910,2183,1988,0.31357740929239863,0.35839763585618123,-0.04482022656378263
2025-09-09,1844,319,904,620,0.17299349240780912,0.49023861171366595,-0.31724511930585686
2025-09-10,1316,574,372,369,0.43617021276595747,0.2826747720364742,0.1534954407294833
2025-09-11,679,188,255,234,0.2768777614138439,0.3755522827687776,-0.09867452135493372
2025-09-12,632,188,217,225,0.2974683544303797,0.34335443037974683,-0.04588607594936709
2025-09-13,575,113,237,221,0.19652173913043477,0.4121739130434783,-0.21565217391304348
2025-09-14,556,106,247,199,0.1906474820143885,0.4442446043165468,-0.25359712230215825
2025-09-15,666,174,228,260,0.26126126126126126,0.34234234234234234,-0.08108108108108109
2025-09-16,793,179,300,314,0.2257250945775536,0.37831021437578816,-0.15258511979823455
2025-09-17,1296,446,342,505,0.3441358024691358,0.2638888888888889,0.08024691358024691
2025-09-18,890,324,319,246,0.36404494382022473,0.35842696629213483,0.0056179775280898875
2025-09-19,642,164,267,211,0.2554517133956386,0.4158878504672897,-0.16043613707165108
2025-09-20,419,88,212,118,0.2100238663484487,0.5059665871121718,-0.29594272076372313
2025-09-21,465,100,218,144,0.21505376344086022,0.46881720430107526,-0.2537634408602151
2025-09-22,684,153,288,241,0.2236842105263158,0.42105263157894735,-0.19736842105263158
2025-09-23,830,204,377,249,0.2457831325301205,0.4542168674698795,-0.20843373493975903
2025-09-24,871,201,342,326,0.23076923076923078,0.39265212399540755,-0.1618828932261768
2025-09-25,925,233,394,298,0.2518918918918919,0.4259459459459459,-0.17405405405405405
2025-09-26,1090,277,479,333,0.25412844036697246,0.43944954128440367,-0.1853211009174312
2025-09-27,2009,844,673,489,0.42010950721752116,0.3349925335988054,0.08511697361871579
2025-09-28,879,233,409,233,0.26507394766780434,0.4653014789533561,-0.20022753128555176
2025-09-29,1807,605,697,500,0.33480907581627006,0.3857221914775872,-0.0509131156613171
