Variable,Group,N,Mean,SD,Min,Max,Skewness,Kurtosis,SW W,SW p,JB Stat,JB p,DA K2,DA p,Normal?,ADF Stat,ADF p,KPSS Stat,KPSS p,Stationary?,Outliers
IHSG Net Sentiment (NSR),IHSG,25,0.0703,0.0447,-0.0022,0.2093,1.0157,2.0218,0.931,0.091449,8.5563,0.013868,9.8903,0.007118,Borderline,-5.3545,4e-06,0.1455,0.1,Stationary,"1 outlier (high, value=0.2093)"
USD/IDR Net Sentiment (NSR),USD/IDR,25,0.0544,0.0937,-0.1,0.3333,1.2486,1.5119,0.8714,0.004607,8.8774,0.011811,10.6873,0.004778,Non-normal,-5.6243,1e-06,0.1297,0.1,Stationary,"6 outliers: 1 low (min=-0.1000), 5 high (max=0.3333)"
IHSG Return (%),IHSG,25,0.216,0.886,-1.5291,2.4425,0.1887,0.122,0.9775,0.831548,0.1639,0.921303,0.7058,0.702658,Normal,-1.1824,0.681136,0.1187,0.1,Diff-stationary,None
USD/IDR Return (%),USD/IDR,25,-0.0069,0.3597,-0.8567,0.4679,-0.9156,0.1041,0.9131,0.035684,3.5041,0.173415,4.6972,0.095503,Borderline,-5.5422,2e-06,0.4027,0.075977,Stationary,"1 outlier (low, value=-0.8567)"
IHSG Net Sentiment (NSC),IHSG,25,4.115,3.1614,-1.493,11.7738,0.729,0.3035,0.9505,0.257881,2.3104,0.314999,3.66,0.160417,Normal,-3.7277,0.00374,0.2172,0.1,Stationary,2 outliers: 2 high (max=11.7738)
USD/IDR Net Sentiment (NSC),USD/IDR,25,0.9008,1.6514,-2.28,4.4042,0.6713,0.0918,0.9198,0.050589,1.8866,0.389336,2.8848,0.236362,Normal,-3.0687,0.028958,0.2919,0.1,Stationary,3 outliers: 3 high (max=4.4042)
IHSG Mean Compound,IHSG,25,0.0319,0.0202,-0.0033,0.0774,0.6431,0.0668,0.9553,0.329191,1.7281,0.42146,2.6606,0.264404,Normal,-4.6793,9.2e-05,0.1393,0.1,Stationary,None
USD/IDR Mean Compound,USD/IDR,25,0.0315,0.0502,-0.0157,0.1826,1.5522,1.6625,0.7947,0.000186,12.9183,0.001566,13.8246,0.000995,Non-normal,-1.6453,0.459507,0.17,0.1,Diff-stationary,4 outliers: 4 high (max=0.1826)
IHSG Tweet Count,IHSG,25,159.52,120.6438,25.0,458.0,1.2158,0.6397,0.8547,0.002163,6.585,0.037161,8.3138,0.015656,Non-normal,-4.0665,0.001099,0.0693,0.1,Stationary,2 outliers: 2 high (max=458.0000)
USD/IDR Tweet Count,USD/IDR,25,79.0,97.4983,2.0,297.0,0.871,-0.7142,0.7567,4.7e-05,3.6924,0.157838,4.2842,0.11741,Borderline,-2.6851,0.076661,0.4764,0.046985,Non-stationary,10 outliers: 10 high (max=297.0000)
