Variable,Date,Value,Method,Direction
IHSG Net Sentiment (NSR),2025-09-03 00:00:00,0.2093023255813953,"IQR, Z=3.11, MAD",HIGH
USD/IDR Net Sentiment (NSR),2025-08-04 00:00:00,0.3333333333333333,"IQR, Z=2.98, MAD",HIGH
USD/IDR Net Sentiment (NSR),2025-08-13 00:00:00,-0.1,MAD,LOW
USD/IDR Net Sentiment (NSR),2025-08-14 00:00:00,0.2222222222222222,MAD,HIGH
USD/IDR Net Sentiment (NSR),2025-08-18 00:00:00,0.1666666666666666,MAD,HIGH
USD/IDR Net Sentiment (NSR),2025-08-21 00:00:00,0.1666666666666666,MAD,HIGH
USD/IDR Net Sentiment (NSR),2025-08-22 00:00:00,0.1428571428571428,MAD,HIGH
IHSG Return (%),2025-08-12 00:00:00,2.4424639662721903,Z=2.51,HIGH
USD/IDR Return (%),2025-08-14 00:00:00,-0.8567114735123615,MAD,LOW
IHSG Net Sentiment (NSC),2025-08-14 00:00:00,10.7808,IQR,HIGH
IHSG Net Sentiment (NSC),2025-08-15 00:00:00,11.7738,IQR,HIGH
USD/IDR Net Sentiment (NSC),2025-08-28 00:00:00,4.4042,"IQR, MAD",HIGH
USD/IDR Net Sentiment (NSC),2025-09-02 00:00:00,3.7934,MAD,HIGH
USD/IDR Net Sentiment (NSC),2025-09-03 00:00:00,4.3894,"IQR, MAD",HIGH
USD/IDR Mean Compound,2025-08-04 00:00:00,0.1825888888888888,"IQR, Z=3.01, MAD",HIGH
USD/IDR Mean Compound,2025-08-14 00:00:00,0.1055222222222222,MAD,HIGH
USD/IDR Mean Compound,2025-08-19 00:00:00,0.11861,MAD,HIGH
USD/IDR Mean Compound,2025-08-22 00:00:00,0.1160857142857142,MAD,HIGH
IHSG Tweet Count,2025-08-29 00:00:00,458.0,"IQR, MAD",HIGH
IHSG Tweet Count,2025-09-01 00:00:00,441.0,"IQR, MAD",HIGH
USD/IDR Tweet Count,2025-08-25 00:00:00,145.0,MAD,HIGH
USD/IDR Tweet Count,2025-08-26 00:00:00,134.0,MAD,HIGH
USD/IDR Tweet Count,2025-08-27 00:00:00,138.0,MAD,HIGH
USD/IDR Tweet Count,2025-08-28 00:00:00,163.0,MAD,HIGH
USD/IDR Tweet Count,2025-08-29 00:00:00,214.0,MAD,HIGH
USD/IDR Tweet Count,2025-09-01 00:00:00,297.0,MAD,HIGH
USD/IDR Tweet Count,2025-09-02 00:00:00,222.0,MAD,HIGH
USD/IDR Tweet Count,2025-09-03 00:00:00,196.0,MAD,HIGH
USD/IDR Tweet Count,2025-09-04 00:00:00,260.0,MAD,HIGH
USD/IDR Tweet Count,2025-09-05 00:00:00,97.0,MAD,HIGH
