Variable,N,IQR Outliers,Z-Score Outliers,MAD Outliers,Union (Any Method),Pct Outliers,High,Low,IQR Low,IQR High
IHSG Net Sentiment (NSR),25,1,1,1,1,4.0%,1,0,-0.0303,0.1594
USD/IDR Net Sentiment (NSR),25,1,1,6,6,24.0%,5,1,-0.15,0.25
IHSG Return (%),25,0,1,0,1,4.0%,1,0,-2.2799,2.723
USD/IDR Return (%),25,0,0,1,1,4.0%,0,1,-0.8849,0.9084
IHSG Net Sentiment (NSC),25,2,0,0,2,8.0%,2,0,-1.9273,9.3651
USD/IDR Net Sentiment (NSC),25,2,0,3,3,12.0%,3,0,-2.4649,4.1082
IHSG Mean Compound,25,0,0,0,0,0.0%,0,0,-0.0175,0.0793
USD/IDR Mean Compound,25,1,1,4,4,16.0%,4,0,-0.074,0.1233
IHSG Tweet Count,25,2,0,2,2,8.0%,2,0,-113.5,370.5
USD/IDR Tweet Count,25,0,0,10,10,40.0%,10,0,-200.0,352.0
